structure,method,design,conserved_contacts,total_contacts,contact_conservation_rate,contact_conservation_pct
9NFU,ProteinMPNN_baseline,90,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,91,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,92,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,93,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,94,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,95,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,96,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,97,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,98,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,99,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,100,9,14,0.6428571428571429,64.28571428571429
9NH7,ProteinMPNN_baseline,1,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,2,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,3,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,4,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,5,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,6,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,7,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,8,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,9,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,10,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,11,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,12,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,13,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,14,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,15,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,16,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,17,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,18,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,19,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,20,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,21,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,22,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,23,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,24,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,25,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,26,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,27,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,28,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,29,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,30,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,31,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,32,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,33,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,34,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,35,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,36,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,37,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,38,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,39,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,40,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,41,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,42,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,43,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,44,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,45,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,46,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,47,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,48,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,49,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,50,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,51,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,52,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,53,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,54,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,55,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,56,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,57,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,58,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,59,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,60,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,61,4,15,0.26666666666666666,26.666666666666668
9NH7,ProteinMPNN_baseline,62,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,63,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,64,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,65,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,66,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,67,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,68,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,69,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,70,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,71,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,72,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,73,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,74,1,15,0.06666666666666667,6.666666666666667
9NH7,ProteinMPNN_baseline,75,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,76,4,15,0.26666666666666666,26.666666666666668
9NH7,ProteinMPNN_baseline,77,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,78,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,79,4,15,0.26666666666666666,26.666666666666668
9NH7,ProteinMPNN_baseline,80,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,81,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,82,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,83,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,84,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,85,3,15,0.2,20.0
9NH7,ProteinMPNN_baseline,86,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,87,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,88,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,89,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,90,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,91,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,92,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,93,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,94,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,95,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,96,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,97,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,98,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,99,2,15,0.13333333333333333,13.333333333333334
9NH7,ProteinMPNN_baseline,100,3,15,0.2,20.0
